A1: Ladder,B1: Jono 2.3A cDNA 10F,C1: Nicky 2.3A cDNA 10F
0.4696903,0.3062587,0.7167807
0.4761014,0.2724009,0.6920438
0.5613146,0.3352375,0.6652775
0.66436,0.3690615,0.6270108
0.6845374,0.518281,0.5022988
0.6302528,0.5595813,0.5004892
0.5864763,0.6582823,0.5582561
0.6702528,0.6852746,0.5480871
0.6286941,0.7759728,0.5507846
0.7211523,0.7347212,0.5673752
0.7530646,0.654923,0.6157908
0.7664933,0.6363049,0.5168409
0.7615271,0.6838427,0.4006505
0.8668542,0.6815925,0.4540262
0.869513,0.7231293,0.4518456
0.9821782,0.7840848,0.5637503
0.8955393,0.7128878,0.695364
0.8322306,0.6775913,0.8472462
0.6902671,0.6377087,0.8007216
0.6678782,0.5972514,0.8188787
0.598516,0.5895333,0.8460112
0.606565,0.5404434,0.754539
0.7275877,0.5460057,0.7299094
1.008024,0.4536695,0.7618828
1.047497,0.6710715,0.7642288
1.143391,0.8386798,0.79214
1.014941,0.8521218,0.7838655
0.9130826,0.8881297,0.7608662
0.9194674,0.9180832,0.6839671
0.9517055,0.9308548,0.705502
0.9461198,0.9560657,0.7087789
1.023417,0.822588,0.7645626
1.114147,0.7496152,0.811399
1.146854,0.6238327,0.9615812
0.9988518,0.751224,0.948494
0.9854417,0.6697488,0.7982678
1.045147,0.6673298,0.56144
1.08935,0.5956511,0.3995776
1.168292,0.6427279,0.39113
1.126796,0.6008577,0.3797026
1.097452,0.6841202,0.3757401
1.101695,0.6786599,0.5292196
1.064314,0.696279,0.7575884
0.9819069,0.7376151,1.036213
0.8835025,0.7895951,0.9803257
0.9149032,0.7660842,0.9050903
0.9920921,0.8250456,0.9143763
1.0341,0.8396759,0.9633317
0.9863572,0.914319,1.092407
0.8964663,0.8659673,1.040169
0.8949165,0.8904667,0.9243398
0.9908242,0.77562,0.9691625
1.088286,0.719902,1.016275
1.092284,0.6810317,0.9761472
1.019966,0.6164241,0.8948197
1.013169,0.5791287,0.8390126
1.027374,0.5469575,0.8053989
0.9469638,0.5728846,0.840261
0.8969774,0.5252299,0.9287219
0.8884058,0.5933232,0.8847871
0.9500375,0.5724874,0.817987
1.036457,0.4833293,0.8852682
1.07875,0.5603971,0.8902268
1.070943,0.5609794,0.8494525
1.018469,0.6372933,0.8933291
1.021296,0.6758423,0.7421103
1.0055,0.688633,0.5780945
1.02956,0.72088,0.5215669
1.032143,0.5966125,0.5173545
1.080952,0.6278319,0.4798174
1.055454,0.4846783,0.534584
0.9510617,0.4364953,0.5876174
0.8428593,0.51122,0.6618094
0.7493014,0.4761505,0.777698
0.737103,0.5900092,0.9136906
0.7113776,0.6041889,0.8296289
0.6880212,0.639637,0.7885361
0.7494111,0.5636153,0.7955804
0.8366427,0.4849854,0.6541653
0.9714084,0.4555674,0.5853596
0.9862361,0.424016,0.6176839
0.9068155,0.3900828,0.631896
0.8906584,0.3766999,0.7247543
0.8581972,0.3793797,0.900661
0.8850961,0.3121719,0.9770966
0.8559408,0.2469106,1.047092
0.7770367,0.171051,1.076983
0.8031917,0.09270144,1.067184
0.8754926,0.1413927,0.8954339
0.9247665,0,0.6994877
0.8596168,0.01982069,0.5674033
0.7990518,0.04680014,0.4479756
0.8086185,0.1842628,0.2910719
0.7637625,0.1956153,0.2731042
0.7739544,0.1064634,0.2223306
0.7817397,0.1665473,0.259697
0.8018832,0.2046294,0.2769279
0.8556638,0.3380413,0.3520951
0.7723193,0.4612966,0.4046493
0.7994895,0.3911438,0.3590012
0.7543206,0.4405308,0.4955068
0.6681614,0.5090351,0.6684785
0.5488038,0.4802198,0.8086319
0.4572692,0.3503079,0.8952103
0.4584084,0.2640738,0.9049263
0.4923,0.2874465,0.7996716
0.6140995,0.2918057,0.6916156
0.6548305,0.2735038,0.6356273
0.7100487,0.2216206,0.4839573
0.8800406,0.1516037,0.3014636
0.9723473,0.09521341,0.3038392
0.9902635,0.06875086,0.3428702
0.9256406,0.03114223,0.450707
0.9349246,0,0.574903
0.9176345,0.00524807,0.5880437
0.8564968,0.1269088,0.5190878
0.8044157,0.1289077,0.613266
0.7282081,0.1264658,0.5586114
0.640882,0.200666,0.4832926
0.6030393,0.1860056,0.3653889
0.5932384,0.1424203,0.3746085
0.647716,0.1899295,0.2987309
0.691803,0.1653566,0.4213147
0.6583443,0.1195731,0.582984
0.6558537,0.1040134,0.5708714
0.6870551,0.09823799,0.5585909
0.6295304,0.0669322,0.6261778
0.5645509,0.1436038,0.527
0.4596052,0.1381698,0.4683299
0.4381943,0.03882647,0.3690133
0.3780851,0.1757398,0.3433013
0.3532605,0.2003732,0.2697468
0.2164979,0.1122351,0.3320241
0.2334642,0.08100939,0.4870219
0.3787761,0.06295013,0.5150318
0.4591985,0.04602671,0.5324535
0.4023108,0,0.5374618
0.4463162,0.07841396,0.5309882
0.5594654,0.0369997,0.5101881
0.6511927,0.0859251,0.5250568
0.5875974,0.2860556,0.5160799
0.5604224,0.2381263,0.5011673
0.5192752,0.1828136,0.4708843
0.6635427,0.2766895,0.5081363
0.6375203,0.3519449,0.4947524
0.5576982,0.3334398,0.4417963
0.5323491,0.3694582,0.3820443
